product_id,product_name,category,subcategory,brand,price,cost,stock_quantity
1,Levi's Shoes Respond,Clothing,Shoes,Levi's,96.03,51.36,219
2,Nike Water Sports Western,Sports,Water Sports,Nike,204.95,136.97,385
3,Dell Headphones Total,Electronics,Headphones,Dell,980.46,439.55,372
4,Home Depot Bedding Cold,Home & Garden,Bedding,Home Depot,511.9,267.59,440
5,Sony Cameras Suggest,Electronics,Cameras,Sony,702.71,319.85,355
6,H&M Pants Federal,Clothing,Pants,H&M,177.86,82.39,392
7,Samsung Cameras Itself,Electronics,Cameras,Samsung,837.33,387.12,380
8,HarperCollins Educational Meet,Books,Educational,HarperCollins,47.22,27.3,91
9,Puma Fitness Avoid,Sports,Fitness,Puma,440.29,193.89,344
10,West Elm Bedding Race,Home & Garden,Bedding,West Elm,503.37,337.68,270
11,Gap Shirts Send,Clothing,Shirts,Gap,167.06,77.26,209
12,Random House Comics Quality,Books,Comics,Random House,24.56,16.89,104
13,Home Depot Furniture Order,Home & Garden,Furniture,Home Depot,234.47,134.01,220
14,Nikon Smartphones Practice,Electronics,Smartphones,Nikon,1080.65,526.53,277
15,Sony Headphones Personal,Electronics,Headphones,Sony,944.67,656.64,417
16,IKEA Decor Clear,Home & Garden,Decor,IKEA,468.24,241.01,179
17,Adidas Water Sports Majority,Sports,Water Sports,Adidas,155.46,96.26,493
18,Adidas Pants Great,Clothing,Pants,Adidas,224.47,124.3,111
19,Penguin Educational Congress,Books,Educational,Penguin,36.06,17.23,117
20,Sony Smartphones Direction,Electronics,Smartphones,Sony,1469.03,620.03,198
21,Pottery Barn Bedding Leg,Home & Garden,Bedding,Pottery Barn,573.07,326.79,295
22,Sony Smartphones We,Electronics,Smartphones,Sony,738.11,326.92,240
23,HP Laptops Born,Electronics,Laptops,HP,490.89,321.05,215
24,Adidas Water Sports Again,Sports,Water Sports,Adidas,85.93,40.16,303
25,Simon & Schuster Comics Understand,Books,Comics,Simon & Schuster,48.71,26.47,411
26,Samsung Headphones Across,Electronics,Headphones,Samsung,93.61,38.84,16
27,HarperCollins Educational Shake,Books,Educational,HarperCollins,23.05,14.25,463
28,Nike Dresses Choice,Clothing,Dresses,Nike,283.25,178.06,409
29,LG Headphones Should,Electronics,Headphones,LG,71.75,33.92,333
30,Adidas Shirts Style,Clothing,Shirts,Adidas,162.52,108.3,122
31,H&M Accessories Prevent,Clothing,Accessories,H&M,224.78,125.28,288
32,Reebok Fitness Strong,Sports,Fitness,Reebok,311.84,138.33,369
33,Sony Smartphones Hold,Electronics,Smartphones,Sony,990.08,628.67,51
34,Wayfair Furniture Trouble,Home & Garden,Furniture,Wayfair,333.34,194.47,352
35,Zara Accessories Position,Clothing,Accessories,Zara,25.17,16.35,367
36,Apple Cameras Put,Electronics,Cameras,Apple,559.91,345.35,201
37,Levi's Shoes Image,Clothing,Shoes,Levi's,99.76,62.43,281
38,Random House Comics Cut,Books,Comics,Random House,29.95,12.38,429
39,Penguin Comics Friend,Books,Comics,Penguin,38.2,17.88,146
40,Nike Fitness Back,Sports,Fitness,Nike,80.86,55.35,129
41,Wayfair Furniture Suddenly,Home & Garden,Furniture,Wayfair,363.95,167.66,349
42,Penguin Children Space,Books,Children,Penguin,27.7,15.18,417
43,Penguin Educational Operation,Books,Educational,Penguin,38.27,23.6,297
44,H&M Shirts Throw,Clothing,Shirts,H&M,271.3,178.74,156
45,Nikon Cameras Mention,Electronics,Cameras,Nikon,1647.7,723.69,244
46,Adidas Shirts Have,Clothing,Shirts,Adidas,134.38,67.81,301
47,Random House Fiction Local,Books,Fiction,Random House,24.05,15.66,239
48,West Elm Decor Around,Home & Garden,Decor,West Elm,79.21,35.63,335
49,Home Depot Decor Hit,Home & Garden,Decor,Home Depot,526.16,330.04,290
50,Pottery Barn Tools Democrat,Home & Garden,Tools,Pottery Barn,519.3,232.01,116
51,Adidas Outdoor Teacher,Sports,Outdoor,Adidas,88.99,46.49,19
52,Adidas Shirts Course,Clothing,Shirts,Adidas,161.74,65.94,58
53,Random House Fiction Analysis,Books,Fiction,Random House,30.97,14.52,404
54,Wayfair Tools Order,Home & Garden,Tools,Wayfair,452.69,289.27,264
55,Simon & Schuster Children Serious,Books,Children,Simon & Schuster,44.18,23.92,121
